ADRNo;SOC;SOCCode: System Organ Class;HLT:Higher Level Term;HLTCode;PT: Preffered Term;PTCode;LLT: Lower Level Term;LLTCode
5488/19;Neurological disorders;14;Neuromuscular disorders;101;Hypotonia;971;Limpness;2252
5488/19;Neurological disorders;14;Impaired consciousness;99;Loss of consciousness;405;Unresponsive to stimuli;2247
5488/19;Neurological disorders;14;Impaired consciousness;99;Sedation;664;Sedation;111
5488/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased packed cell volume (PCV);2215
5488/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
5305/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site scratching;26
5305/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Panting;855
5305/19;Systemic disorders;19;General signs or symptoms;154;Abnormal posture NOS;644;Abnormal posture NOS;1132
5361/19;Application site disorders;1;Application site reactions;1;Application site erythema;4;Application site reddening;1332
5361/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Localised itching;1582
5362/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5362/19;Application site disorders;1;Injection site reactions;3;Injection site hair change;45;Injection site hair loss;74
5362/19;Application site disorders;1;Injection site reactions;3;Injection site serosanguinous discharge;62;Injection site weeping (see also 'skin');103
5362/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5362/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
5363/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Off food;2740
5363/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5489/19;Mammary gland disorders;11;Mammary gland disorders;74;Acute mastitis;324;Acute mastitis;525
5489/19;Systemic disorders;19;Death;151;Death;592;Death;984
5434/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
5146/19;Behavioural disorders;2;Sleep disturbance;9;Sleep disturbance NOS;83;Sleep disturbance NOS;141
5146/19;Investigations;34;Abnormal cytology;264;Abnormal cytology;1089;Abnormal cytology;2588
5146/19;Skin and appendages disorders;18;Skin and tissue infections;225;Bacterial skin infection;725;Skin abscess;1754
5493/19;Systemic disorders;19;Death;151;Death;592;Found dead;983
5494/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatopathy;308;Liver disorder NOS;1943
5494/19;Investigations;34;White blood cell investigations;250;Leucocytosis NOS;97;Leucocytosis NOS;163
5494/19;Investigations;34;White blood cell investigations;250;Neutrophilia;102;Neutrophilia;168
5494/19;Investigations;34;White blood cell investigations;250;Monocytosis;1031;Monocytosis;2420
5494/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
5494/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
5494/19;Investigations;34;Investigations NOS;259;Elevated total bilirubin;1055;Elevated total bilirubin;2052
5494/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
5494/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Emesis (multiple);2082
5495/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (virus NOS);2660
5496/19;Systemic disorders;19;Death;151;Death;592;Death;984
5496/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (rabbit haemorrhagic disease (RHD));2553
5497/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Respiratory tract disorder NOS;650;Nasal discharge;871
5497/19;Systemic disorders;19;Death;151;Death;592;Death;984
5497/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Reluctant to move;1025
5497/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylactic-type reaction;1114
5138/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin lesion NOS;582;Skin lesion NOS;966
5138/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
5368/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site dermatitis;1934
5369/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
5369/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5397/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site dermatitis;1934
5401/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5404/19;Digestive tract disorders;5;Other digestive tract disorders;35;Haemorrhagic diarrhoea;195;Haemorrhagic diarrhoea;314
5507/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
5508/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
5509/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
5509/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Photosensitivity;576;Photosensitization;956
5509/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Desquamation;568;Skin slough;943
5509/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Incoordination;1901
5509/19;Systemic disorders;19;Death;151;Death;592;Found dead;983
5510/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatopathy;308;Hepatopathy;496
5510/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5510/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Panting;855
5510/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
5510/19;Digestive tract disorders;5;Other digestive tract disorders;35;Flatulence, bloating and distension;763;Bloated;1349
5510/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
5510/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
5510/19;Investigations;34;Hepatobiliary investigations;258;Elevated bile acids;1054;Elevated bile acids;2051
5510/19;Investigations;34;Metabolic investigations;254;Elevated serum lipids;1095;Elevated triglyceride;2508
5510/19;Investigations;34;Metabolic investigations;254;Elevated serum lipids;1095;Elevated cholesterol (total);2266
5511/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (ectoparasite NOS);2492
5512/19;Respiratory tract disorders;17;Nasal cavity and sinus disorders;135;Sneezing;524;Sneezing;873
5512/19;Respiratory tract disorders;17;Nasal cavity and sinus disorders;135;Rhinitis;522;Sniffing;870
5512/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Dyspnoea;506;Breathing difficulty;1170
5512/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Cough;532;Cough;884
5512/19;Respiratory tract disorders;17;Tracheal and laryngeal disorders;137;Tracheal obstruction;530;Choke;2584
5515/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
5515/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin lesion NOS;582;Skin lesion NOS;966
5515/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Erythematous rash;1449
5515/19;Investigations;34;Renal and urinary investigations;262;Haematuria;1077;Blood in urine;1956
5515/19;Investigations;34;Renal and urinary investigations;262;Urine abnormalities NOS;907;Abnormal urine odour;1966
5515/19;Investigations;34;Renal and urinary investigations;262;Glucosuria;1079;Glucosuria;1960
5515/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Erythema (for urticaria see Immune SOC);948
5515/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Scratching;959
5515/19;Skin and appendages disorders;18;Skin and tissue infections;225;Bacterial skin infection;725;Pyoderma;961
5515/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5515/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
5515/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5515/19;Investigations;34;Adrenal investigations;253;Hypercortisolaemia;1043;Hypocortisolaemia;2625
5515/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
5515/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
5515/19;Investigations;34;Electrolyte investigations;260;Hypocalcaemia;1113;Hypocalcaemia;2685
5515/19;Renal and urinary disorders;15;Urinary tract disorders;110;Urinary tract infection;1086;Urinary tract infection;2026
5516/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
5516/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
5516/19;Investigations;34;Thyroid investigations;256;Elevated thyroxine (T4);1048;Elevated thyroxine (T4);2669
5516/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated blood urea nitrogen (BUN);2047
5516/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated creatinine;2048
5516/19;Investigations;34;Thyroid investigations;256;Low thyroxine (T4);1050;Low thyroxine (T4);2670
5516/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Azotaemia;2182
5412/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5412/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5415/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5517/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site eczema;2064
5517/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site sore;2602
5517/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Erythema (for urticaria see Immune SOC);948
5517/19;Application site disorders;1;Application site reactions;1;Application site ulcer;21;Application site ulcer;35
5517/19;Application site disorders;1;Application site reactions;1;Application site erythema;4;Application site erythema;5
5517/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site scab;15
5517/19;Application site disorders;1;Application site reactions;1;Application site burn;934;Application site burn;2063
5517/19;Application site disorders;1;Application site reactions;1;Application site infection;918;Application site infection;2005
5518/19;Mammary gland disorders;11;Milk production disorders;76;Lactation change;950;Milk production decrease;535
5518/19;Digestive tract disorders;5;Ruminant stomach disorders;36;Ruminant stomach disorder;202;Displaced abomasum;323
5518/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
5518/19;Application site disorders;1;Implant site reactions;2;Movement of implant;43;Movement of implant;71
5423/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
5424/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site lesion;14
5424/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site dermatitis;1934
5424/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site itching;23
5424/19;Application site disorders;1;Application site reactions;1;Application site self trauma;18;Application site self trauma;31
5427/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Restlessness;119
5427/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Swollen face (see also 'Skin');1811
5427/19;Immune system disorders;10;Other immune system disorders;73;Other immune system disorder NOS;322;Other immune system disorder NOS;522
5427/19;Immune system disorders;10;Allergic conditions;72;Hypersensitivity reaction;319;Allergic pruritus;2076
5525/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Thrombocytopenia;160
5525/19;Investigations;34;Electrolyte investigations;260;Hypokalaemia;1063;Hypokalaemia;2418
5525/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
5525/19;Investigations;34;Metabolic investigations;254;Elevated serum lipids;1095;Elevated cholesterol (total);2266
5525/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
5525/19;Investigations;34;Metabolic investigations;254;Hyperglycaemia;903;Hyperglycaemia;1946
5525/19;Endocrine system disorders;7;Pancreas endocrine disorders;48;Diabetes mellitus;240;Diabetes mellitus;389
5525/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Emesis (multiple);2082
5525/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Loose stool;304
5525/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
5525/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin disorders NOS;847;Skin sore;962
5525/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Limb weakness;1121
5525/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
5525/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Hiding;2207
5525/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dry mucous membrane;1210
5525/19;Investigations;34;White blood cell investigations;250;Lymphopenia;100;Lymphopenia;166
5526/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
5526/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5526/19;Investigations;34;Electrolyte investigations;260;Hyponatremia;1064;Hyponatremia;2512
5526/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
5526/19;Skin and appendages disorders;18;Hair follicle and sebaceous gland disorders;144;Hair change;771;Lack of hair regrowth;2586
5526/19;Endocrine system disorders;7;Pancreas endocrine disorders;48;Diabetes mellitus;240;Diabetes mellitus;389
5526/19;Endocrine system disorders;7;Pancreas endocrine disorders;48;Diabetes mellitus;240;Diabetic ketoacidosis;2053
5527/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
5527/19;Neurological disorders;14;Paralytic and paretic disorders;102;Paresis;416;Hind limb paresis;1153
5527/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
5527/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
5527/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Weakness;1023
5527/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Ataxia;654
5527/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
5527/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
5527/19;Investigations;34;Adrenal investigations;253;Hypocortisolaemia;1044;Hypercortisolaemia;2624
5528/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
5436/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5436/19;Digestive tract disorders;5;Other digestive tract disorders;35;Haemorrhagic diarrhoea;195;Bloody diarrhoea;315
5436/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Off food;2740
5436/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5437/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site infection;1542
5437/19;Application site disorders;1;Injection site reactions;3;Injection site necrosis;54;Injection site necrosis;89
5534/19;Systemic disorders;19;Death;151;Death;592;Death;984
5535/19;Systemic disorders;19;Death;151;Death;592;Death;984
5537/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Scratching;959
5538/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
5539/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
5539/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
5539/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
5539/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
5539/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
5541/19;Systemic disorders;19;Death;151;Death;592;Death;984
5542/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site hair loss;3
5542/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Sleepiness - systemic disorder;2529
5543/19;Systemic disorders;19;General signs or symptoms;154;Discomfort NOS;994;Uncomfortable;2499
5543/19;Skin and appendages disorders;18;Sweating disorders;149;Hyperhidrosis;588;Increased sweating;974
5543/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
5543/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5543/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
5543/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
5544/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
5544/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
5544/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatomegaly;307;Enlarged liver;495
5544/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatopathy;308;Liver disorder NOS;1943
5545/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5546/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5546/19;Digestive tract disorders;5;Other digestive tract disorders;35;Haemorrhagic diarrhoea;195;Bloody diarrhoea;315
5546/19;Cardio-vascular system disorders;4;Cardiac/heart disorders;23;Murmur;133;Heart murmur;213
5546/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
5546/19;Digestive tract disorders;5;Intestinal disorders;236;Tenesmus;170;Straining to defecate;2453
5546/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Mucous stool;1080
5547/19;Metabolism and nutrition disorders;12;Other metabolic disorders;82;Other metabolic disorder;823;Other metabolic disorder;1668
5547/19;Skin and appendages disorders;18;Hair follicle and sebaceous gland disorders;144;Hair change;771;Hair change;1506
5547/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Infectious disease NOS;2597
5547/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5551/19;Musculoskeletal disorders;13;Muscular disorders;89;Myopathy;375;Muscle wasting;611
5552/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
5553/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Drunken gait;1133
5553/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
5553/19;Digestive tract disorders;5;Intestinal disorders;236;Intestinal stasis;628;Constipation;267
5553/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
5553/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5553/19;Application site disorders;1;Injection site reactions;3;Injection site skin change;965;Injection site skin change NOS;2205
5553/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
5553/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
5555/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
5555/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5555/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5556/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
5557/19;Eye disorders;8;Scleral and conjunctival disorders;64;Conjunctivitis;291;Conjunctivitis;469
5557/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5557/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Off food;2740
5557/19;Systemic disorders;19;General signs or symptoms;154;Adipsia;338;Not drinking;541
5557/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Weakness;1023
5558/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
5558/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
5558/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Tachypnoea;854
5558/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated blood urea nitrogen (BUN);2047
5558/19;Investigations;34;White blood cell investigations;250;Leucocytosis NOS;97;Leucocytosis NOS;163
5558/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased packed cell volume (PCV);2215
5558/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Walking difficulty;1902
5558/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
5558/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Licking;1997
5558/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5558/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5558/19;Digestive tract disorders;5;Other digestive tract disorders;35;Melaena;197;Melaena;317
5558/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract haemorrhage NOS;188;Blood in faeces;1081
5558/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
5558/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Limb weakness;1121
5558/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Musculoskeletal disorder NOS;1120
5559/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
5559/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
5559/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5559/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5559/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
5559/19;Digestive tract disorders;5;Anal and rectal disorders;29;Anal sac disorder;915;Anal sac disorder;1999
5560/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5560/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5561/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Agitation;121
5561/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
5561/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
5562/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Shaking;2002
5562/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5562/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
5562/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
5562/19;Systemic disorders;19;General signs or symptoms;154;Abnormal posture NOS;644;Abnormal posture NOS;1132
5164/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Hiding;2207
5164/19;Systemic disorders;19;General signs or symptoms;154;Increased skin temperature;1133;Warm feeling to the touch;2742
5164/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
5564/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
5564/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Fit;643
5565/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
5566/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Swollen feet;1812
5569/19;Digestive tract disorders;5;Oral cavity disorders;34;Oral haemorrhage;184;Oral bleeding;297
5569/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Anaemia NOS;142
5569/19;Systemic disorders;19;Death;151;Death;592;Death;984
5570/19;Skin and appendages disorders;18;Sweating disorders;149;Hyperhidrosis;588;Excessive sweating;1453
5570/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
5570/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal pain;163;Colic;264
5570/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Appetite loss;997
5570/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
5570/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract hypomotility;959;Gut sounds decreased;2162
5570/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract hypermotility;879;Increased borborygmus;2091
5570/19;Neurological disorders;14;Impaired consciousness;99;Impaired consciousness;663;Dullness;126
5570/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
5534/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
5535/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
5450/19;Behavioural disorders;2;Other behavioural disorders;6;Aggression;69;Aggression;113
5456/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
5456/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Loose stool;304
5476/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
5574/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
5574/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Shaking;2002
5574/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Tremor;1852
5574/19;Systemic disorders;19;General signs or symptoms;154;Recumbency;947;Lateral recumbency;1135
5575/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Anaemia NOS;142
5575/19;Investigations;34;Serum protein investigations;251;Elevated globulins;1033;Elevated globulins;2556
5575/19;Investigations;34;Metabolic investigations;254;Decreased cholesterol (total);1094;Decreased cholesterol (total);2265
5575/19;Investigations;34;Metabolic investigations;254;Hypoglycaemia;904;Hypoglycaemia;1947
5575/19;Eye disorders;8;Iris, ciliary body and choroid disorders;57;Pupil disorder;269;Fixed pupil;431
5575/19;Neurological disorders;14;Neuromuscular disorders;101;Mydriasis;413;Dilated pupils;1414
5575/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
5575/19;Neurological disorders;14;Impaired consciousness;99;Loss of consciousness;405;Unconscious;1857
5575/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
5575/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
5575/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
5575/19;Behavioural disorders;2;Other behavioural disorders;6;Vocalisation;78;Vocalisation;129
5575/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
5575/19;Neurological disorders;14;Convulsions and epilepsy;97;Epileptic seizure;398;Grand mal seizure;2727
